Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
105757384,Center Tap Corner,5.7 YDS,Trad,1,50.0,2.2,18,31.0,Sheets and Copeland,"All Locations > Colorado > Boulder > Upper Dream Canyon > Thunder Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757384/center-tap-corner
105845009,Naked Lunch,5.11c YDS,Sport,5,360.0,2.9,53,104.0,"Adams & Hare, 2002","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105845009/naked-lunch
105748520,The Deep,5.11c YDS,Sport Fixed Hardware,1,,2.7,178,515.0,"Richard Rossiter and Leah Macaluso, June 1996.","All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748520/the-deep
113287809,Bolted Route Number 4,5.9 YDS,Sport,1,100.0,2.4,7,16.0,unknown,"All Locations > Colorado > Boulder > Upper Dream Canyon > Water Slabs > 
                    Sort Routes
            ",https://www.mountainproject.com/route/113287809/bolted-route-number-4
113171440,Belie Black,5.8+ YDS,Sport,1,,1.9,99,418.0,unknown,"All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/113171440/belie-black
105760242,Shiny Toys,5.9 YDS,Trad,1,80.0,2.0,60,135.0,Kyle Copeland and Allison Sheets,"All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105760242/shiny-toys
105831291,IR,5.10+ YDS,Trad,1,50.0,2.0,1,1.0,"Vaino Kodas, Mary Zuvela, 2004","All Locations > Colorado > Boulder > Upper Dream Canyon > Greenhouse > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105831291/ir
123493431,Crack In the Wall,5.9+ YDS,Trad,1,75.0,2.0,2,1.0,"R. Rossiter, B. Von Grebe","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/123493431/crack-in-the-wall
106237246,Timeless,5.10a YDS,Sport,1,80.0,2.0,97,238.0,Tom Kohlmann,"All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106237246/timeless
105845000,Spiders From Mars,5.11 YDS,Trad,1,70.0,3.1,11,11.0,"Dekker, Horan, Guerin, 1981","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105845000/spiders-from-mars
105866590,The Stroke of Midnight,5.10d YDS,Sport,1,90.0,1.7,29,43.0,"Dan Hare & Matt Fetbrod, 2002","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105866590/the-stroke-of-midnight
106770720,Dozey Brat,V9-10 YDS,Boulder,1,8.0,1.0,1,0.0,Chris Schulte,"All Locations > Colorado > Boulder > Upper Dream Canyon > Universal Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106770720/dozey-brat
105831253,The Producers,5.11d YDS,Sport,1,70.0,3.0,4,8.0,"Vaino Kodas, Moe Hershoff, 2003","All Locations > Colorado > Boulder > Upper Dream Canyon > Vanishing Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105831253/the-producers
111898141,Disillusioned Reality free variation,5.10 YDS,Trad,1,80.0,2.5,2,1.0,Eric Johnson,"All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/111898141/disillusioned-reality-free-variation
105814012,Take the Power Back,5.9- YDS,Trad,1,,1.9,17,19.0,Richard Rossiter and Bonnie Von Grebe,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105814012/take-the-power-back
105755800,Rage Against The Machine,5.11a YDS,Trad,1,,2.3,12,12.0,Richard Rossiter and Bonnie Von Grebe,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105755800/rage-against-the-machine
107874034,Pla Pwy (Sick Fish),5.12b YDS,Sport,1,70.0,2.7,15,24.0,"Jonas Wallin, Josh Lyons, Zac Holtzman","All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107874034/pla-pwy-sick-fish
116762294,Permanent Restraining Order,5.11a YDS,Trad,1,90.0,1.0,1,4.0,"FFA: Steve Sangdahl and John Baldwin, June 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/116762294/permanent-restraining-order
105758871,Divination Direct,5.11d YDS,Sport,3,90.0,3.0,50,107.0,Tommy Painter and Dan Hare,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105758871/divination-direct
105851573,Geminae Cracks,5.13a YDS,Sport,1,40.0,2.7,7,6.0,"Equipped by Dan Hare, 1998.  FFA: Peter Hunt, 8/20/06","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105851573/geminae-cracks
105762177,Hunky Monkey,5.11b YDS,Sport,4,300.0,3.1,161,468.0,"Dan Hare and Tom Painter (1st pitch), 2003","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105762177/hunky-monkey
105755803,Shiek Yer Bouti,5.11d YDS,Sport,1,90.0,2.6,14,30.0,"Steve Sangdahl, Janet Robinson, and John Baldwin","All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105755803/shiek-yer-bouti
107375079,Jet Stream,5.11b/c YDS,Trad,1,50.0,3.4,17,26.0,"Bob Horan and John Baldwin, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107375079/jet-stream
106866089,Bat Boy,5.11c/d YDS,Sport,1,35.0,2.0,4,5.0,"Bob Horan & Chule Lee, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Bat Cove > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106866089/bat-boy
105761421,Palm Pilot,5.13d YDS,Sport,1,40.0,2.1,7,3.0,"Jim Redo, bolted and modified by Mark Rolofson & John Baldwin","All Locations > Colorado > Boulder > Upper Dream Canyon > Universal Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105761421/palm-pilot
106339635,Dream Machine,5.12b/c YDS,Sport,1,75.0,2.5,2,3.0,Bob Horan 1996,"All Locations > Colorado > Boulder > Upper Dream Canyon > Universal Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106339635/dream-machine
106367949,The Sector,5.10a YDS,Sport,1,40.0,3.0,1,1.0,Bob Horan and Bob D'Antonio,"All Locations > Colorado > Boulder > Upper Dream Canyon > Turtle Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106367949/the-sector
105867933,Buddhist Pest,5.8 YDS,Trad,1,90.0,0.6,13,19.0,"Richard Rossiter and Gail Effron, June 1996","All Locations > Colorado > Boulder > Upper Dream Canyon > Icon > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105867933/buddhist-pest
105833606,Grande Finale,5.12d YDS,Sport,1,50.0,2.4,8,7.0,"Bob Horan and Chule Lee. FFA: Bob Horan, Fall 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105833606/grande-finale
105831207,The Caterer,5.12b YDS,Sport,1,80.0,2.8,6,9.0,"Moe Hershoff and Vaino Kodas, 2004","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105831207/the-caterer
119007053,Bolted Route #6,5.10a/b YDS,Sport,1,80.0,2.0,3,2.0,unknown,"All Locations > Colorado > Boulder > Upper Dream Canyon > Water Slabs > 
                    Sort Routes
            ",https://www.mountainproject.com/route/119007053/bolted-route-6
105750808,Long Dong with Zentropa Finish,5.10+ YDS,Trad,1,,2.7,11,12.0,Rossiter and friends,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105750808/long-dong-with-zentropa-finish
121153334,China Doll's Voyage (Link up of China Doll P1 into Earth Voyage P2),5.12b YDS,Sport,1,110.0,4.0,4,5.0,link-up,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/121153334/china-dolls-voyage-link-up-of-china-doll-p1-into-earth-voyage-p2
108277356,Long Lost Dreams,V6-7 YDS,Boulder,1,18.0,4.0,2,0.0,Eric & Greg Johnson,"All Locations > Colorado > Boulder > Upper Dream Canyon > Dream Dome > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108277356/long-lost-dreams
105748562,Earth Voyage,5.12a YDS,Sport,4,,3.6,82,209.0,Bob Horan,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748562/earth-voyage
105748675,Werner's Legacy,5.8- YDS,Sport,1,,2.7,44,82.0,"Bob Horan, Werner Braun","All Locations > Colorado > Boulder > Upper Dream Canyon > Vanishing Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105748675/werners-legacy
106383049,Steeple-chase,5.10d YDS,Sport,1,50.0,2.8,4,3.0,Bob Horan/Mike Houser 2009,"All Locations > Colorado > Boulder > Upper Dream Canyon > Steeple > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106383049/steeple-chase
105757090,Mud Shark,5.12a YDS,Sport,1,70.0,3.0,34,79.0,"FFA: Steve Sangdahl and John Baldwin, 1997","All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105757090/mud-shark
124222994,Batarang,5.12b YDS,Sport,1,25.0,1.0,1,1.0,"Bob Horan, Chule Lee, 1998","All Locations > Colorado > Boulder > Upper Dream Canyon > Bat Cove > 
                    Sort Routes
            ",https://www.mountainproject.com/route/124222994/batarang
124756729,Pistol Grip Pump,5.10b YDS,Trad,1,200.0,1.0,1,1.0,"C. Weidner, 4/16","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/124756729/pistol-grip-pump
105846334,Vanishing Ink,5.12b YDS,Trad,2,130.0,3.0,3,1.0,"Equipped by Dan Hare and Richard Rossiter, FFA: Upper Section: Dan Hare and Bruce Adams FFA: Peter Hunt","All Locations > Colorado > Boulder > Upper Dream Canyon > Vanishing Point > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105846334/vanishing-ink
106342290,Voila,5.12b YDS,Sport,1,75.0,3.2,29,48.0,"Bob Horan and Chul Lee, 1997","All Locations > Colorado > Boulder > Upper Dream Canyon > Midnight Rock > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106342290/voila
106770703,Dreamed Up,V9-10 YDS,Boulder,1,15.0,3.3,4,4.0,Chris Schulte,"All Locations > Colorado > Boulder > Upper Dream Canyon > Oceanic Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106770703/dreamed-up
105831203,The Vaino Step,5.12a YDS,Sport,1,80.0,2.7,3,2.0,"Vaino Kodas, Moe Hershoff, Claire Mearns, 2003","All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105831203/the-vaino-step
105762648,Crazy Wisdom,5.11a YDS,Trad,1,110.0,2.3,9,19.0,Rossiter,"All Locations > Colorado > Boulder > Upper Dream Canyon > Lost Angel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/105762648/crazy-wisdom
